place_key,canonical_name,source_lat,source_lon,verified_lat,verified_lon,delta_m,coordinate_type,verification_source,verification_source_url,decision,notes
ferry,Ferry Building + Ferry Plaza Farmers Market / Oct 3 Latine Makers,37.7955,-122.3937,37.79554,-122.39343,24.1,landmark centroid,Mapcarta / OSM+Wikidata cross-source,https://mapcarta.com/23041732,KEEP_EQUIVALENT,Ferry Building footprint; source seed already lands correctly.
exploratorium,Exploratorium,37.8014,-122.3977,37.801389,-122.397611,7.9,current museum building,Wikidata current Pier 15 coordinate,https://www.wikidata.org/wiki/Q206518,KEEP_EQUIVALENT,"Used post-2013 Pier 15 coordinate, not historic Palace of Fine Arts coordinate."
bay_lights,The Bay Lights — Bay Bridge,37.7915,-122.39,37.791583,-122.39,9.2,viewing point / operational marker,Cupid's Span / Rincon Park viewing point,https://www.coordinatesfinder.com/coordinates/136102-cupid-s-span-san-francisco-california,KEEP_EQUIVALENT,Bay Lights is linear bridge art; marker represents the agreed waterfront viewing point near Cupid's Span.
ggb,Golden Gate Bridge + south-side overlook experience,37.8078,-122.475,37.8078,-122.475,0.0,visitor plaza / operational arrival,NPS Golden Gate Bridge Welcome Center / visitor plaza,https://www.nps.gov/prsf/planyourvisit/bridge-pavilion.htm,KEEP_EQUIVALENT,South-side visitor plaza is the intended early-morning stop.
muir,Muir Woods National Monument,37.8966,-122.5815,37.892848,-122.572465,895.9,visitor center / entry area,NPS Muir Woods Visitor Center entry coordinate,https://www.nps.gov/planyourvisit/event-details.htm?id=67960439-C5F8-15BC-C3CAFDE611FBB2F1,CORRECT_TO_OPERATIONAL_ARRIVAL,Seed was a park reference point ~0.9 km from the actual visitor-center entry used by reserved parking arrivals.
battery,Battery Spencer Overlook,37.827,-122.4817,37.82802,-122.48187,114.4,viewpoint centroid,Mapcarta / OSM feature coordinate,https://mapcarta.com/W111530592,CORRECT_TO_VERIFIED,Shift to the actual Battery Spencer fort/viewpoint feature.
palace,Palace of Fine Arts,37.8024,-122.4482,37.802897,-122.448414,58.4,landmark centroid,Library of Congress HABS record,https://www.loc.gov/pictures/item/ca0686/,KEEP_EQUIVALENT,Independent HABS/LOC coordinate confirms the site.
crissy,Crissy Field East Beach / Promenade,37.8047,-122.4645,37.805578,-122.451188,1173.6,East Beach parking / operational arrival,Crissy Field East Beach parking coordinate linked to Google Maps,https://luma.com/8ney5y7g,CORRECT_TO_OPERATIONAL_ARRIVAL,"Seed was far west along Crissy promenade; itinerary names East Beach, so pin now lands at East Beach parking/changing rooms."
alcatraz,Alcatraz Island,37.8267,-122.423,37.826762,-122.423021,7.1,island / ferry arrival landmark,Recreation.gov Alcatraz GPS coordinate,https://www.recreation.gov/gateways/2558,KEEP_EQUIVALENT,Matches the island/ferry arrival area within a few meters.
north_beach,North Beach — Washington Square / Columbus / Grant,37.8007,-122.4101,37.800918,-122.410111,24.3,Washington Square anchor,Google Maps Washington Square,https://www.google.com/maps/search/Washington%20Square%20Park%2C%20San%20Francisco%2C%20CA%2094133%2C%20USA/37.8009182%2C-122.41011100000003,KEEP_EQUIVALENT,North Beach is an area; Washington Square remains the agreed spatial anchor.
fortune,Golden Gate Fortune Cookie Factory — watch folding + make a custom fortune,37.7942,-122.4078,37.7957,-122.40735,171.4,storefront / attraction,Mapcarta / OSM attraction coordinate,https://mapcarta.com/N1308317902,CORRECT_TO_VERIFIED,Seed sat south of 56 Ross Alley; corrected to the factory storefront area.
coit,Coit Tower + Depression-era Murals,37.8024,-122.4058,37.8024,-122.40584,3.5,tower centroid,GeoNames,https://www.geonames.org/5338366/coit-tower.html,KEEP_EQUIVALENT,Independent coordinate agrees essentially exactly.
lombard,Lombard Street – Crooked Block,37.8021,-122.4187,37.802003,-122.419619,81.5,top of crooked block / operational viewpoint,Hyde & Lombard intersection coordinate,https://www.findlatitudeandlongitude.com/l/Lombard%2BStreet%2Band%2BHyde%2BStreet%2C%2BSan%2BFrancisco%2C%2BCA%2B/20339/,CORRECT_TO_OPERATIONAL_ARRIVAL,"Pin moved to Hyde/Lombard, the top/start of the famous crooked block and cable-car access point."
musee,Musée Mécanique — play 300+ working antique coin-operated machines,37.8087,-122.4158,37.80925,-122.41579,61.2,museum / arcade entrance,Mapcarta current Pier 45 attraction node,https://mapcarta.com/35962806,CORRECT_TO_VERIFIED,Seed was slightly south; corrected to current Pier 45 attraction node.
point_lobos,Point Lobos State Natural Reserve,36.5163,-121.9406,36.51599,-121.93711,313.8,reserve entrance station / operational arrival,Point Lobos SNR Entrance Station (OuterSpatial),https://organizations.outerspatial.com/points-of-interest/point-lobos-snr-7aad9090-6856-4d00-b8ff-3021e9fd5fe1,CORRECT_TO_OPERATIONAL_ARRIVAL,Arrival pin should be the entrance kiosk because parking availability is the itinerary constraint.
lone_cypress,The Lone Cypress + 17-Mile Drive,36.57,-121.9655,36.569476,-121.966266,89.9,viewpoint / parking stop,California Coastal Trail point record,https://californiacoastaltrail.org/info-point/lone-cypress/,CORRECT_TO_VERIFIED,Uses the documented Lone Cypress viewpoint/parking stop on 17-Mile Drive.
aquarium,Monterey Bay Aquarium,36.6182,-121.9019,36.617833,-121.902,41.8,main entrance,California Water Boards project record,https://www.waterboards.ca.gov/water_issues/programs/ocean/docs/asbs/mba_is2011jan.pdf,KEEP_EQUIVALENT,Official project document gives the main entrance at Cannery Row/David Ave.
cooks,Cook's Meadow Loop,37.7466,-119.5961,37.74648,-119.58982,552.3,trail / meadow access anchor,Apple Maps Cook's Meadow Loop,https://maps.apple.com/place?place-id=I3FCBAF427D442979,CORRECT_TO_VERIFIED,Seed was ~0.55 km west; corrected to the mapped Cook's Meadow Loop location.
tunnel_view,Tunnel View,37.7154,-119.6763,37.71559,-119.67693,59.3,scenic viewpoint pullout,Apple Maps / NPS-linked viewpoint,https://maps.apple.com/place?auid=8361206869108304757&lsp=9902,KEEP_EQUIVALENT,Independent viewpoint coordinate is within the same pullout.
valley_view,Valley View,37.727,-119.6655,37.7172,-119.6621,1130.0,roadside pullout / viewpoint,"Wilderness Portal (NPS-attributed, verified 2026-06-18)",https://www.wildernessportal.com/poi/valley-view,CORRECT_TO_VERIFIED,Seed was over 1 km north/east; corrected to Valley View on one-way Northside Drive.
washburn,Washburn Point,37.7278,-119.5655,37.720307,-119.572666,1044.7,scenic viewpoint pullout,Wikidata / GNIS-linked Washburn Point coordinate,https://www.wikidata.org/wiki/Q26196531,CORRECT_TO_VERIFIED,Seed was ~1 km away; corrected to Washburn Point on Glacier Point Road.
glacier,Glacier Point,37.7304,-119.5738,37.730806,-119.573,83.6,scenic viewpoint,Wikidata / GNIS-linked Glacier Point coordinate,https://www.wikidata.org/wiki/Q3108318,KEEP_EQUIVALENT,Independent coordinate confirms the main Glacier Point overlook.
mariposa,Mariposa Grove of Giant Sequoias,37.5035,-119.6157,37.50662,-119.62925,1244.6,Welcome Plaza parking / operational arrival,NPS Welcome Plaza concept cross-checked with OuterSpatial coordinate,https://www.outerspatial.com/points-of-interest/mariposa-grove-welcome-plaza-and-parking-88734,CORRECT_TO_OPERATIONAL_ARRIVAL,"Private cars park at Welcome Plaza, then shuttle to Arrival Area. Pin now represents actual family arrival/parking decision point."
painted,Painted Ladies + Alamo Square,37.7764,-122.4346,37.776956,-122.434945,68.9,photo viewpoint in Alamo Square,Wikimedia Commons geotagged viewpoint,https://commons.wikimedia.org/wiki/File:Painted_Ladies_Alamo_Square._(10413465334).jpg,CORRECT_TO_VERIFIED,Uses a documented classic postcard-row viewpoint in Alamo Square rather than a generic neighborhood point.
twin_peaks,Twin Peaks — Christmas Tree Point,37.7544,-122.4477,37.75493,-122.44664,110.3,Christmas Tree Point viewpoint,Mapcarta / OSM viewpoint feature,https://mapcarta.com/N599157316,CORRECT_TO_VERIFIED,"Marker now targets Christmas Tree Point itself, matching itinerary wording."
botanical,San Francisco Botanical Garden,37.7679,-122.4672,37.766943,-122.466823,111.5,Main Gate / operational entry,"1199 9th Ave / main-gate geocode, checked against SF Rec & Park entrance map",https://www.findlatitudeandlongitude.com/l/San%2BFrancisco%2BBotanical%2BGarden%2C%2B1199%2C%2B9th%2BAvenue%2C%2BGolden%2BGate%2BPark%2C%2BSan%2BFrancisco%2C%2BSan%2BFrancisco%2BCounty%2C%2BCalifornia%2C%2B94117%2C%2BUSA/6421405/,CORRECT_TO_OPERATIONAL_ARRIVAL,Current SF Rec & Park map directs visitors to Main Gate/9th Ave; pin uses entry rather than garden centroid.
academy,California Academy of Sciences,37.7699,-122.4661,37.769824,-122.466087,8.5,museum building,Wikidata California Academy building coordinate,https://www.wikidata.org/wiki/Q134486471,KEEP_EQUIVALENT,Independent building coordinate agrees within ~10 m.
lands_end,Lands End Coastal Trail,37.7809,-122.5133,37.78084,-122.5119,123.2,trailhead / operational arrival,Apple Maps Lands End Trailhead,https://maps.apple.com/place?auid=3991957975766943407&lsp=9902,CORRECT_TO_OPERATIONAL_ARRIVAL,Uses a trailhead coordinate instead of a generic point on the coastal trail.
tunnel_tops,Presidio Tunnel Tops + Outpost Playground,37.80296,-122.46172,37.80296,-122.46172,0.0,official attraction centroid / signed visitor viewpoint,Official-source gap audit plus OSM feature cross-check,https://presidio.gov/explore/attractions/presidio-tunnel-tops,ADD_OFFICIAL_GAP_AUDIT,⭐ 강력추천 — 원본 워크북에 있었으나 지도에서 누락
cable_car,Powell–Hyde Cable Car,37.80518,-122.42067,37.80518,-122.42067,0.0,official attraction centroid / signed visitor viewpoint,Official-source gap audit plus OSM feature cross-check,https://www.sfmta.com/routes/powell-hyde-cable-car,ADD_OFFICIAL_GAP_AUDIT,공식 교차검증으로 추가 — 원본 워크북에 개별 항목 없음
